bin1 bin2 count p_value
6 3082 33 9.632844880473464e-46
7 3082 30 1.9303139668226996e-40
8 3082 32 5.838222631054477e-44
9 3082 37 5.13055761684112e-53
9 4996 11 5.568729221400114e-11
10 3082 33 9.632844880473464e-46
11 3082 26 1.3453315321071569e-33
12 3082 33 9.632844880473464e-46
13 3082 35 2.3711155947604762e-49
14 3082 23 1.1835058221815628e-28
15 3082 19 2.3944607535278587e-22
16 3082 19 2.3944607535278587e-22
17 3082 19 2.3944607535278587e-22
18 3082 20 6.853982314751517e-24
19 3082 34 1.536465236368474e-47
20 3082 28 5.509624601279251e-37
21 3082 28 5.509624601279251e-37
22 3082 20 6.853982314751517e-24
23 3082 18 7.917807854699e-21
24 3082 28 5.509624601279251e-37
25 3082 20 6.853982314751517e-24
26 3082 26 1.3453315321071569e-33
27 3082 17 2.4714285110425974e-19
28 3082 16 7.25964408423124e-18
29 3082 16 7.25964408423124e-18
30 3082 21 1.8615806586599448e-25
31 3082 25 6.249898628214511e-32
32 3082 25 6.249898628214511e-32
33 1712 10 1.0378146020135272e-09
33 3082 19 2.3944607535278587e-22
34 3082 13 1.232442532578055e-13
35 2951 12 2.731002165566517e-12
35 3082 14 5.147651980854031e-15
36 3082 21 1.8615806586599448e-25
37 3082 16 7.25964408423124e-18
38 3082 16 7.25964408423124e-18
39 3082 19 2.3944607535278587e-22
40 3082 13 1.232442532578055e-13
41 3082 16 7.25964408423124e-18
42 3082 12 2.731002165566517e-12
43 3082 11 5.568729221400114e-11
44 3082 19 2.3944607535278587e-22
45 3082 15 1.999980992482155e-16
46 3082 14 5.147651980854031e-15
47 3082 17 2.4714285110425974e-19
48 3082 16 7.25964408423124e-18
49 3082 15 1.999980992482155e-16
50 3082 20 6.853982314751517e-24
51 3082 15 1.999980992482155e-16
52 3082 10 1.0378146020135272e-09
53 3082 11 5.568729221400114e-11
55 3082 20 6.853982314751517e-24
56 3082 20 6.853982314751517e-24
57 3082 15 1.999980992482155e-16
58 3082 13 1.232442532578055e-13
59 3082 15 1.999980992482155e-16
60 3082 11 5.568729221400114e-11
61 3082 11 5.568729221400114e-11
62 3082 11 5.568729221400114e-11
63 3082 14 5.147651980854031e-15
64 3082 10 1.0378146020135272e-09
67 3082 11 5.568729221400114e-11
68 3082 19 2.3944607535278587e-22
69 3082 11 5.568729221400114e-11
70 3082 15 1.999980992482155e-16
71 3082 16 7.25964408423124e-18
72 3082 15 1.999980992482155e-16
73 3082 13 1.232442532578055e-13
74 3082 16 7.25964408423124e-18
75 3082 12 2.731002165566517e-12
76 3082 13 1.232442532578055e-13
78 3082 14 5.147651980854031e-15
80 3082 10 1.0378146020135272e-09
81 3082 13 1.232442532578055e-13
87 3082 15 1.999980992482155e-16
94 3082 10 1.0378146020135272e-09
106 3082 11 5.568729221400114e-11
110 3082 10 1.0378146020135272e-09
111 4916 19 2.3944607535278587e-22
130 3832 11 5.568729221400114e-11
132 2703 19 2.3944607535278587e-22
160 4659 16 7.25964408423124e-18
167 585 15 1.999980992482155e-16
180 401 24 2.7810893600470555e-30
180 403 10 1.0378146020135272e-09
180 405 13 1.232442532578055e-13
180 409 10 1.0378146020135272e-09
180 412 12 2.731002165566517e-12
180 413 11 5.568729221400114e-11
180 414 12 2.731002165566517e-12
180 415 11 5.568729221400114e-11
180 417 10 1.0378146020135272e-09
180 419 10 1.0378146020135272e-09
180 421 10 1.0378146020135272e-09
180 422 10 1.0378146020135272e-09
180 424 11 5.568729221400114e-11
180 428 14 5.147651980854031e-15
180 429 11 5.568729221400114e-11
180 1086 17 2.4714285110425974e-19
180 3082 65 3.923974180238232e-109
222 1928 36 3.543161777784658e-51
225 2435 14 5.147651980854031e-15
233 4289 13 1.232442532578055e-13
251 1110 12 2.731002165566517e-12
255 1747 16 7.25964408423124e-18
260 1213 12 2.731002165566517e-12
270 3069 20 6.853982314751517e-24
273 2397 26 1.3453315321071569e-33
277 3559 13 1.232442532578055e-13
287 2829 10 1.0378146020135272e-09
295 912 11 5.568729221400114e-11
304 3910 10 1.0378146020135272e-09
308 2610 10 1.0378146020135272e-09
318 1973 14 5.147651980854031e-15
318 3216 14 5.147651980854031e-15
328 3138 10 1.0378146020135272e-09
337 1126 13 1.232442532578055e-13
343 4112 15 1.999980992482155e-16
347 3069 14 5.147651980854031e-15
347 4337 10 1.0378146020135272e-09
359 2377 11 5.568729221400114e-11
365 1064 12 2.731002165566517e-12
401 3082 45 3.4543215289455068e-68
401 4609 13 1.232442532578055e-13
402 3082 22 4.808348521798224e-27
403 3082 20 6.853982314751517e-24
404 3082 21 1.8615806586599448e-25
405 3082 14 5.147651980854031e-15
406 2495 16 7.25964408423124e-18
406 3082 21 1.8615806586599448e-25
407 3082 16 7.25964408423124e-18
408 3082 29 1.0509688054070932e-38
409 3082 18 7.917807854699e-21
410 3082 19 2.3944607535278587e-22
411 3082 23 1.1835058221815628e-28
412 3082 20 6.853982314751517e-24
413 3082 19 2.3944607535278587e-22
414 3082 21 1.8615806586599448e-25
415 3082 24 2.7810893600470555e-30
416 3082 23 1.1835058221815628e-28
417 3082 32 5.838222631054477e-44
418 3082 24 2.7810893600470555e-30
419 3082 25 6.249898628214511e-32
420 3082 21 1.8615806586599448e-25
421 3082 24 2.7810893600470555e-30
422 3082 16 7.25964408423124e-18
423 3082 23 1.1835058221815628e-28
424 3082 25 6.249898628214511e-32
425 3082 15 1.999980992482155e-16
426 3082 16 7.25964408423124e-18
427 3082 19 2.3944607535278587e-22
428 3082 17 2.4714285110425974e-19
429 3082 11 5.568729221400114e-11
430 3082 20 6.853982314751517e-24
431 3082 16 7.25964408423124e-18
432 3082 13 1.232442532578055e-13
433 3082 23 1.1835058221815628e-28
434 3082 13 1.232442532578055e-13
435 3082 10 1.0378146020135272e-09
436 3082 11 5.568729221400114e-11
437 3082 18 7.917807854699e-21
439 3082 11 5.568729221400114e-11
440 3082 16 7.25964408423124e-18
441 3082 17 2.4714285110425974e-19
442 3082 15 1.999980992482155e-16
443 3082 13 1.232442532578055e-13
444 3082 20 6.853982314751517e-24
445 3082 11 5.568729221400114e-11
446 3082 11 5.568729221400114e-11
448 3082 11 5.568729221400114e-11
449 3082 11 5.568729221400114e-11
453 3082 11 5.568729221400114e-11
456 3082 12 2.731002165566517e-12
465 3082 13 1.232442532578055e-13
466 3082 14 5.147651980854031e-15
467 3082 15 1.999980992482155e-16
476 3082 10 1.0378146020135272e-09
483 1887 12 2.731002165566517e-12
487 4017 17 2.4714285110425974e-19
508 2717 30 1.9303139668226996e-40
521 1121 17 2.4714285110425974e-19
534 1665 10 1.0378146020135272e-09
534 1666 22 4.808348521798224e-27
542 1290 18 7.917807854699e-21
561 2159 10 1.0378146020135272e-09
563 2127 13 1.232442532578055e-13
594 2962 15 1.999980992482155e-16
597 1052 12 2.731002165566517e-12
620 2141 12 2.731002165566517e-12
622 920 15 1.999980992482155e-16
623 5163 11 5.568729221400114e-11
632 4844 13 1.232442532578055e-13
637 3766 10 1.0378146020135272e-09
638 2326 20 6.853982314751517e-24
638 3307 12 2.731002165566517e-12
651 1269 20 6.853982314751517e-24
657 3999 12 2.731002165566517e-12
667 1478 14 5.147651980854031e-15
674 4011 18 7.917807854699e-21
687 4635 11 5.568729221400114e-11
702 3907 17 2.4714285110425974e-19
704 2560 21 1.8615806586599448e-25
710 2991 14 5.147651980854031e-15
720 1203 17 2.4714285110425974e-19
754 3827 10 1.0378146020135272e-09
758 4538 15 1.999980992482155e-16
765 3082 16 7.25964408423124e-18
766 3082 23 1.1835058221815628e-28
767 3082 20 6.853982314751517e-24
768 3082 13 1.232442532578055e-13
769 3082 17 2.4714285110425974e-19
770 3082 17 2.4714285110425974e-19
771 3082 18 7.917807854699e-21
772 3082 13 1.232442532578055e-13
773 3082 18 7.917807854699e-21
774 3082 13 1.232442532578055e-13
775 3082 18 7.917807854699e-21
776 3082 12 2.731002165566517e-12
777 3082 16 7.25964408423124e-18
778 3082 24 2.7810893600470555e-30
779 3082 12 2.731002165566517e-12
781 3082 11 5.568729221400114e-11
782 3082 17 2.4714285110425974e-19
783 3082 15 1.999980992482155e-16
784 3082 10 1.0378146020135272e-09
785 3082 11 5.568729221400114e-11
786 3082 17 2.4714285110425974e-19
787 3082 13 1.232442532578055e-13
788 3082 15 1.999980992482155e-16
789 3082 10 1.0378146020135272e-09
793 3082 16 7.25964408423124e-18
794 3082 10 1.0378146020135272e-09
797 1388 19 2.3944607535278587e-22
797 3082 12 2.731002165566517e-12
798 3082 14 5.147651980854031e-15
801 3082 10 1.0378146020135272e-09
806 5093 16 7.25964408423124e-18
808 3082 12 2.731002165566517e-12
811 3082 11 5.568729221400114e-11
814 3082 12 2.731002165566517e-12
830 3828 17 2.4714285110425974e-19
832 3770 12 2.731002165566517e-12
838 4644 10 1.0378146020135272e-09
849 3999 13 1.232442532578055e-13
876 2869 10 1.0378146020135272e-09
896 3082 11 5.568729221400114e-11
908 1455 16 7.25964408423124e-18
911 3843 17 2.4714285110425974e-19
917 3711 10 1.0378146020135272e-09
923 1848 12 2.731002165566517e-12
927 2026 12 2.731002165566517e-12
957 4122 25 6.249898628214511e-32
1032 3877 20 6.853982314751517e-24
1035 1140 27 2.777901458102491e-35
1050 2678 12 2.731002165566517e-12
1070 3423 11 5.568729221400114e-11
1070 3612 15 1.999980992482155e-16
1085 1703 24 2.7810893600470555e-30
1085 2003 10 1.0378146020135272e-09
1085 2309 28 5.509624601279251e-37
1085 3082 16 7.25964408423124e-18
1086 3082 19 2.3944607535278587e-22
1088 3082 16 7.25964408423124e-18
1089 3082 21 1.8615806586599448e-25
1090 3082 11 5.568729221400114e-11
1091 3082 21 1.8615806586599448e-25
1092 3082 17 2.4714285110425974e-19
1093 3082 20 6.853982314751517e-24
1094 3082 17 2.4714285110425974e-19
1095 3082 17 2.4714285110425974e-19
1096 3082 24 2.7810893600470555e-30
1097 3082 17 2.4714285110425974e-19
1098 3082 20 6.853982314751517e-24
1099 3082 21 1.8615806586599448e-25
1100 3082 19 2.3944607535278587e-22
1101 3082 17 2.4714285110425974e-19
1102 3082 18 7.917807854699e-21
1103 3082 14 5.147651980854031e-15
1104 3082 14 5.147651980854031e-15
1105 3082 11 5.568729221400114e-11
1106 3082 14 5.147651980854031e-15
1107 3082 16 7.25964408423124e-18
1108 3082 18 7.917807854699e-21
1109 3082 17 2.4714285110425974e-19
1110 3082 21 1.8615806586599448e-25
1111 3082 14 5.147651980854031e-15
1112 3082 14 5.147651980854031e-15
1113 3082 15 1.999980992482155e-16
1114 3082 21 1.8615806586599448e-25
1115 3082 13 1.232442532578055e-13
